author,comment
@akuputrir,wkwk pagii bgtt bang
@Aqua111-m4j,"Secara podcast, terlalu morning person mas uploadnya"
@SellyJelita69,DZAWIN KAPAN?
@zhazelailul1591,"Segabut ini gue,,pagi2 bgni dgerin obrolan mreka"
@crazinessnword212,"bukan gabut mas, nganggur"
@pevitayt14,​@@crazinessnword212chuakssss
@wildanabil,"Bukan gabut mas , pengangguran"
@rmnh1687,😂😂😂
@gamerskw2080,☝
@Warga081,"Alay bgt sih yg nulis pertama, kedua, ketiga. nonton aja belom kelar, udah nulis nulis gitu😂"
@serbaserbiiiii-w7q,gw yakin yg nonton ini sambil prepare kerja
@lindadianita,bener bangett 😂
@SijamHusna,Saya kerjanya di rumah jadi santuy 😬😬
@06zainal,Pgiiiii skliiii
@mvalentinoo,BERONTAK TERUS HIPP!!
@JorgeMartine-q3m,menunggu GJLS di netflix
@yohanesnicosetiyawan2958,sama
@pevitayt14,"bukan di netflix bang tapi di vidio, tungguin 3 bulanan lagi"
@radenarrel,Sama
@introdiksi,Parah pada ga nonton di bioskop
@yohanesnicosetiyawan2958,"​@@introdiksinonton kocak, pas day one malah"
@satuoktober,Terlalu pagi masnyaaa
@funny_video261,Pagi bang Radit 😊
@laksanaiqbal9240,Gw yakin sekarang bgt blm ada yang selesai nonton video ini 😎
@imkahfiii,Famous hip hipp
@babyayooy,Pagi amat neng
@Sinner-ars,pagi banget
@priasegardenganrasamelon1899,Makan nasi uduk + podcast radit
@pizzatempe1,pagi pagi nonton radit
@hamdis7125,Cakep
@muhrhafie1430,🎉
@dul6984,undang armuh dong bang
@JorgeMartine-q3m,UP
@Azizrachmann,07.01
@dacolgames,Wew
@Kartun87654,Ke3
@gopletzzz1290,pertama
@athala1412,Morning person sekali
@jhawle6587,Pertama bang
@khoirunnisaazh,Sarapan dengan podcast
@illuwidya8714,🎉
